t    f(t)
begin
0.0  -76.02089493820266
5.55555E-6  -76.34898838111782
1.11111E-5  -55.43688969978666
1.6666649999999997E-5  -55.79029869514897
2.22222E-5  -56.37586855534266
2.777775E-5  -56.80710121476838
3.3333299999999995E-5  -56.89505904632088
3.8888849999999996E-5  -57.256525130279044
4.44444E-5  -57.66524476681176
4.999995E-5  -58.45405801823053
5.55555E-5  -77.560058696559
6.111105E-5  -80.47899070225856
6.666659999999999E-5  -80.72251190022641
7.222215E-5  -81.1765226409269
7.777769999999999E-5  -81.46420865915995
8.333325E-5  -58.37893005889693
8.88888E-5  -58.68357497655688
9.444434999999999E-5  -58.79163963229491
9.99999E-5  -58.52344007131528
1.0555544999999999E-4  -58.55180989086532
1.11111E-4  -57.41717961932746
1.1666655E-4  -80.7405537509274
1.222221E-4  -81.13489766444214
1.2777764999999998E-4  -81.39038436942629
1.3333319999999998E-4  -81.69310364107056
1.3888875E-4  -82.09301688639393
1.444443E-4  -78.49356691492203
1.4999985E-4  -58.667179499587064
1.5555539999999998E-4  -58.546313178323985
1.6111094999999998E-4  -58.05658251100059
1.666665E-4  -57.10648845979142
1.7222205E-4  -57.13400759840144
1.777776E-4  -57.05079812919161
1.8333314999999998E-4  -56.76599066799738
1.8888869999999998E-4  -56.93865123264933
1.9444425E-4  -76.8934690752369
1.999998E-4  -81.06347103563664
2.0555535E-4  -81.30391865735788
2.1111089999999998E-4  -81.58615279462202
2.1666644999999998E-4  -80.66643439421635
2.22222E-4  -54.84268168046769
2.2777755E-4  -54.82471315783096
2.333331E-4  -55.05104275869572
2.3888864999999998E-4  -55.17213522776673
2.444442E-4  -55.36958327272913
2.4999975E-4  -55.77798094396083
2.5555529999999997E-4  -80.21218954966545
2.6111084999999996E-4  -80.41786098754677
2.6666639999999996E-4  -80.51768857265712
2.7222195E-4  -80.29539977322935
2.777775E-4  -78.39311817750479
2.8333305E-4  -54.373158330856924
2.888886E-4  -54.55189795296223
2.9444415E-4  -54.52335604296301
2.999997E-4  -54.39210937048589
3.0555525E-4  -54.34384924754489
3.1111079999999997E-4  -54.20590182062067
3.1666634999999996E-4  -54.34183414572564
3.2222189999999996E-4  -54.45183500159745
3.2777745E-4  -53.870740754485944
3.33333E-4  -76.83878830387948
3.3888855E-4  -76.83015354669561
3.444441E-4  -76.42656151154623
3.4999965E-4  -76.420194510163
3.555552E-4  -76.28586695989941
3.6111075E-4  -50.63669974084664
3.6666629999999997E-4  -50.50601589716253
3.7222184999999996E-4  -50.44418563154283
3.7777739999999996E-4  -50.62313583618839
3.8333294999999995E-4  -49.81234984944842
3.888885E-4  -48.2099801828036
3.9444405E-4  -73.97314998115634
3.999996E-4  -73.87349145950168
4.0555515E-4  -74.29631427644848
4.111107E-4  -74.61824864527568
4.1666625E-4  -74.60718326756209
4.2222179999999997E-4  -48.841618954037074
4.2777734999999996E-4  -49.094827268005695
4.3333289999999996E-4  -49.31616184651272
4.3888844999999995E-4  -49.36889163406119
4.44444E-4  -47.19439187934517
4.4999955E-4  -47.83811774464788
4.555551E-4  -47.950812833466806
4.6111065E-4  -48.33437610831072
4.666662E-4  -49.22683463717907
4.7222175E-4  -76.6283788941788
4.7777729999999997E-4  -77.4350462307812
4.8333284999999996E-4  -78.32297872448144
4.888884E-4  -79.12906740526469
4.9444395E-4  -79.27654565822311
4.999995E-4  -50.145355918797605
5.0555505E-4  -50.73842734873176
5.111105999999999E-4  -51.283954037835805
5.1666615E-4  -52.060630336700235
5.222216999999999E-4  -52.666237191474885
5.2777725E-4  -53.63423246272444
5.333327999999999E-4  -81.69422175478272
5.3888835E-4  -82.29110724967984
5.444439E-4  -82.77027568107846
5.4999945E-4  -82.91556489796163
5.55555E-4  -81.67360801290867
5.611105499999999E-4  -64.15072163951727
5.666661E-4  -54.584418959636864
5.722216499999999E-4  -55.4032369260826
5.777772E-4  -55.91776378613723
5.833327499999999E-4  -56.24699024560979
5.888883E-4  -57.00084382470528
5.9444385E-4  -57.527484657490156
5.999994E-4  -58.24105458048144
6.0555495E-4  -58.49750572567758
6.111105E-4  -67.98820986821066
6.1666605E-4  -85.92351042736608
6.222215999999999E-4  -86.53593631763054
6.2777715E-4  -87.35440373370118
